"Matricula","situacaoDisciplina","Classificao","numeroMatriculas","anoNascimento","Sexo","idGrade","idDisciplina","idSerie","EscolaridadeResponsavel","idEstadoCivilResponsavel","Total_Faltas","numeroReprovacoes","AprovacoesComExelencia"
"003004180180352",REPROVADO,107,1,2002,M,4,63,49,1,1,0,13,0
"004220141003",MUITO BOM/APROVADO,112,1,2004,M,4,27,50,6,2,0,2,13
"0030010019140531",MUITO BOM/APROVADO,112,1,2004,F,4,40,48,6,2,0,0,8
"0030010019140531",MUITO BOM/APROVADO,112,1,2004,F,4,34,48,6,2,0,0,8
"002004190190233",APROVADO,104,1,2003,F,4,49,48,1,2,0,2,1
"004002020140249",EXCELENTE/APROVADO,113,1,2004,F,4,3,49,6,2,0,2,13
"004220200126",MUITO BOM/APROVADO,112,1,2005,M,4,40,49,1,2,0,3,9
"004220190253",APROVADO,104,1,2004,F,4,40,49,6,2,0,4,2
"004220140418",MUITO BOM/APROVADO,112,1,2006,M,4,63,49,1,2,0,4,13
"004003016141217",MUITO BOM/APROVADO,112,1,2001,M,4,38,50,6,2,0,1,8
"0030010019150122",MUITO BOM/APROVADO,112,2,2004,F,4,49,48,1,2,0,0,7
"004220140529",NÃO VAI CURSAR A DISCIPLINA,109,1,2006,F,4,72,49,6,2,0,3,7
"004002016170316",MUITO BOM/APROVADO,112,1,2000,F,4,49,49,2,2,0,1,6
"004210140215",MUITO BOM/APROVADO,112,1,2003,F,4,3,50,1,2,0,1,13
"004003020140226",EXCELENTE/APROVADO,113,1,2001,M,4,63,50,2,2,0,2,13
"004210140889",MUITO BOM/APROVADO,112,1,2006,M,4,8,48,6,2,0,0,12
"004210140463",MUITO BOM/APROVADO,112,1,2003,F,4,38,50,1,2,0,1,13
"004002020150055",EXCELENTE/APROVADO,113,1,2004,F,4,3,49,7,2,0,2,13
"004220140002",MUITO BOM/APROVADO,112,2,2004,M,4,47,49,1,4,0,3,13
"004002016130020",MUITO BOM/APROVADO,112,1,2002,M,4,8,49,2,2,0,2,8
"004210190253",MUITO BOM/APROVADO,112,1,2004,F,4,47,48,6,2,0,0,13
"002004180180185",APROVADO,104,1,2002,M,4,60,48,2,2,0,0,7
"004230220209",BOM/APROVADO,111,1,2006,M,4,26,50,6,6,0,0,6
"004220210059",MUITO BOM/APROVADO,112,1,2004,M,4,50,50,1,4,0,2,13
"004003016170365",BOM/APROVADO,111,1,2001,F,4,3,50,1,2,0,1,3
"004003019140503",BOM/APROVADO,111,1,2001,F,4,47,50,6,2,0,0,5
"004200200240",MUITO BOM/APROVADO,112,1,2003,F,4,49,49,2,4,0,2,13
"004220141321",REPROVADO,107,1,2007,F,4,72,48,1,1,1,5,13
"004220210117",APROVADO,104,1,2004,M,4,8,49,1,2,0,4,5
"004220170126",REPROVADO,107,1,2007,M,4,100,48,1,2,0,5,2
"004210160187",EXCELENTE/APROVADO,113,2,2005,M,4,49,48,1,2,0,0,13
"004002016170344",NÃO VAI CURSAR A DISCIPLINA,109,1,2002,M,4,46,49,1,2,0,1,1
"004220180272",APROVADO,104,1,2006,F,4,48,48,1,2,0,0,0
"004230200205",MUITO BOM/APROVADO,112,2,2007,F,4,27,48,6,6,2,15,12
"004002020180178",MUITO BOM/APROVADO,112,1,2004,M,4,40,49,2,1,0,1,13
"004210141023",MUITO BOM/APROVADO,112,1,2004,M,4,8,49,1,4,0,1,13
"004003016141066",MUITO BOM/APROVADO,112,1,2000,F,4,38,50,2,2,0,0,13
"004200200164",EXCELENTE/APROVADO,113,1,2002,F,4,34,50,1,2,0,2,13
"004003016140114",BOM/APROVADO,111,1,2000,F,4,26,50,,,0,0,4
"004230130233",BOM/APROVADO,111,1,2006,F,4,50,50,1,2,0,0,11
"004003020140252",BOM/APROVADO,111,1,2002,M,4,49,50,6,2,0,0,4
"004230140527",REPROVADO,107,1,2006,M,4,106,49,6,1,0,13,7
"004002016141030",NÃO VAI CURSAR A DISCIPLINA,109,1,2002,M,4,46,48,1,1,0,1,6
"004230190261",APROVADO,104,1,2007,M,4,63,49,1,1,0,13,1
"0030010016170219",APROVADO,104,1,2003,M,4,49,48,1,2,0,0,1
"0030010020140678",MUITO BOM/APROVADO,112,1,2005,M,4,40,48,6,2,0,2,11
"004230140450",MUITO BOM/APROVADO,112,1,2006,M,4,27,49,6,2,0,13,13
"0030010019141422",MUITO BOM/APROVADO,112,1,2004,F,4,59,48,6,2,0,0,9
"0030010020130287",MUITO BOM/APROVADO,112,2,2004,M,4,40,48,1,2,0,2,13
"003004180180405",INTERCAMBISTA,126,1,2003,F,4,19,49,1,2,0,0,0
"004002019130258",MUITO BOM/APROVADO,112,1,2003,M,4,47,49,1,2,0,0,10
"004230140442",APROVADO,104,1,2004,M,4,26,50,6,2,0,0,0
"004003016140176",MUITO BOM/APROVADO,112,1,2001,F,4,60,50,6,2,0,1,13
"0030010019141162",REPROVADO,107,1,2003,M,4,60,48,6,2,0,5,0
"004003020140483",BRILHANTE/APROVADO,114,1,2003,F,4,49,50,1,2,0,2,13
"004230150167",MUITO BOM/APROVADO,112,1,2007,F,4,59,49,1,2,0,13,4
"004230170346",MUITO BOM/APROVADO,112,1,2007,F,4,60,49,1,4,0,13,12
"004210140531",EXCELENTE/APROVADO,113,1,2004,F,4,40,50,1,2,0,1,13
"0030010019140466",MUITO BOM/APROVADO,112,1,2004,M,4,50,48,1,2,0,0,13
"004220190224",REPROVADO,107,1,2006,M,4,72,48,1,2,1,5,11
"004210140541",BRILHANTE/APROVADO,114,1,2006,M,4,63,48,1,1,0,0,13
"004003016140521",MUITO BOM/APROVADO,112,2,2001,F,4,49,50,6,2,0,1,9
"004210140556",MUITO BOM/APROVADO,112,2,2004,M,4,40,50,6,2,0,1,10
"004230170134",BOM/APROVADO,111,1,2007,F,4,63,49,1,4,0,13,6
"004210130016",MUITO BOM/APROVADO,112,1,2005,F,4,27,49,6,2,0,1,13
"004003016140339",MUITO BOM/APROVADO,112,1,2001,F,4,8,50,2,2,0,1,3
"004210140702",MUITO BOM/APROVADO,112,1,2004,M,4,50,49,1,2,0,1,13
"004002019060009",REPROVADO,107,1,2002,F,4,27,49,6,2,0,13,0
"004002019140281",BOM/APROVADO,111,1,2003,M,4,59,49,6,4,0,0,1
"004004190180420",APROVADO,104,1,2002,F,4,50,50,6,2,0,0,4
"004230150087",EXCELENTE/APROVADO,113,2,2007,M,4,8,49,1,2,0,13,13
"049004200141427",MUITO BOM/APROVADO,112,1,2003,M,4,47,49,1,2,0,2,12
"004003020130311",EXCELENTE/APROVADO,113,1,2003,M,4,3,50,6,2,0,2,13
"004210140734",MUITO BOM/APROVADO,112,1,2004,M,4,59,49,6,1,0,1,12
"004220140991",MUITO BOM/APROVADO,112,1,2006,M,4,8,49,6,2,0,3,10
"004220200229",MUITO BOM/APROVADO,112,1,2004,F,4,38,50,6,6,0,2,5
"004210141023",MUITO BOM/APROVADO,112,1,2004,M,4,50,49,6,4,0,1,13
"004003019140919",TRANSFERIDO,124,1,2002,F,4,3,50,1,4,0,0,0
"004003016170203",APROVADO,104,1,2000,M,4,60,50,2,4,0,3,2
"004230200008",MUITO BOM/APROVADO,112,1,2008,F,4,8,48,1,2,0,15,12
"0030010016141089",TRANSFERIDO,124,1,2002,F,4,63,48,6,4,0,0,0
"004210200088",MUITO BOM/APROVADO,112,1,2003,M,4,34,50,6,4,0,1,13
"004230210065",REPROVADO,107,1,2007,M,4,110,49,1,6,0,13,13
"004002020140304",MUITO BOM/APROVADO,112,1,2004,M,4,50,49,6,2,0,2,1
"004003020170219",BRILHANTE/APROVADO,114,1,2003,M,4,8,50,1,2,0,2,11
"004210060298",MUITO BOM/APROVADO,112,2,2004,F,4,26,50,1,2,0,1,13
"0030010016170163",MUITO BOM/APROVADO,112,1,2002,M,4,40,48,1,2,0,1,7
"004003020140252",APROVADO,104,1,2002,M,4,34,50,6,2,0,0,4
"004220180206",APROVADO,104,1,2006,M,4,26,48,1,2,1,9,1
"004002020160274",MUITO BOM/APROVADO,112,1,2004,F,4,63,49,1,2,0,2,13
"004210140250",EXCELENTE/APROVADO,113,1,2004,F,4,60,50,1,2,0,1,13
"004210160180",MUITO BOM/APROVADO,112,1,2005,F,4,60,48,1,4,0,0,13
"004230170146",BOM/APROVADO,111,1,2006,M,4,63,50,1,2,0,0,7
"004210140897",APROVADO,104,1,2004,F,4,63,49,1,2,0,1,5
"004220140542",APROVADO,104,2,2007,M,4,100,48,6,2,2,0,0
"004002019130237",MUITO BOM/APROVADO,112,1,2003,M,4,49,49,1,4,0,0,13
"0030010019140531",MUITO BOM/APROVADO,112,1,2004,F,4,49,48,1,2,0,0,8
"004003019140129",MUITO BOM/APROVADO,112,1,2002,M,4,59,50,1,2,0,0,9
"004002020160309",REPROVADO,107,1,2003,M,4,19,49,1,4,0,2,11
"004003019140191",APROVADO,104,1,2001,M,4,3,50,7,2,0,0,2
"004003019130026",BOM/APROVADO,111,1,2002,F,4,19,50,6,2,0,0,13
"004220141080",BOM/APROVADO,111,1,2005,F,4,50,50,1,1,0,2,8
"004220180138",BRILHANTE/APROVADO,114,1,2007,M,4,47,48,2,2,0,5,13
"004003020140433",REPROVADO,107,1,2002,F,4,46,50,6,2,0,2,13
"0030010019140262",MUITO BOM/APROVADO,112,1,2003,M,4,47,48,1,2,0,0,13
"0030010020140702",EXCELENTE/APROVADO,113,1,2004,M,4,26,48,6,2,0,2,13
"004210140298",BRILHANTE/APROVADO,114,1,2004,M,4,63,49,6,2,0,1,13
"004002020130229",BRILHANTE/APROVADO,114,1,2004,F,4,40,49,1,2,0,1,13
"004230140679",MUITO BOM/APROVADO,112,2,2007,M,4,49,48,6,2,2,15,11
"004210150045",MUITO BOM/APROVADO,112,1,2004,F,4,8,50,1,2,0,1,13
"004200200315",EXCELENTE/APROVADO,113,1,2002,M,4,63,50,1,2,0,2,13
"0030010019130248",MUITO BOM/APROVADO,112,2,2004,F,4,34,48,1,1,0,0,11
"004003016140087",MUITO BOM/APROVADO,112,2,2000,M,4,46,50,6,2,0,1,11
"004220220209",MUITO BOM/APROVADO,112,1,2006,M,4,34,49,1,1,0,4,9
"004230160329",APROVADO,104,1,2006,M,4,47,49,1,1,0,13,8
"004210170285",EXCELENTE/APROVADO,113,1,2005,M,4,49,48,1,2,0,0,13
"0030010019150050",MUITO BOM/APROVADO,112,1,2004,F,4,3,48,6,2,0,0,9
"004210190253",MUITO BOM/APROVADO,112,1,2004,F,4,59,48,6,2,0,0,13
"0030010016141131",APROVADO,104,1,2003,F,4,40,48,1,4,0,1,1
"004220140546",MUITO BOM/APROVADO,112,1,2006,M,4,8,49,1,4,0,4,12
"0030010020140395",MUITO BOM/APROVADO,112,2,2005,M,4,8,48,1,2,0,1,6
"004003020180112",MUITO BOM/APROVADO,112,1,2003,F,4,3,50,1,5,0,2,13
